Código,Distrito,Sí tiene conexión a internet,No tiene conexión a internet
40808,"Arequipa, La Unión, distrito: Sayla",0,117
40809,"Arequipa, La Unión, distrito: Tauria",2,104
40810,"Arequipa, La Unión, distrito: Tomepampa",0,227
40811,"Arequipa, La Unión, distrito: Toro",1,240
50101,"Ayacucho, Huamanga, distrito: Ayacucho",   8 419,   18 633
50102,"Ayacucho, Huamanga, distrito: Acocro",5,   2 233
50103,"Ayacucho, Huamanga, distrito: Acos Vinchos",4,   1 324
50104,"Ayacucho, Huamanga, distrito: Carmen Alto",   1 437,   6 237
50105,"Ayacucho, Huamanga, distrito: Chiara",28,   1 884
50106,"Ayacucho, Huamanga, distrito: Ocros",7,   1 757
50107,"Ayacucho, Huamanga, distrito: Pacaycasa",16,897
50108,"Ayacucho, Huamanga, distrito: Quinua",100,   1 431
50109,"Ayacucho, Huamanga, distrito: San José de Ticllas",0,541
50110,"Ayacucho, Huamanga, distrito: San Juan Bautista",   3 045,   10 195
50111,"Ayacucho, Huamanga, distrito: Santiago de Pischa",41,640
50112,"Ayacucho, Huamanga, distrito: Socos",15,   1 801
50113,"Ayacucho, Huamanga, distrito: Tambillo",6,   1 377
50114,"Ayacucho, Huamanga, distrito: Vinchos",9,   4 146
50115,"Ayacucho, Huamanga, distrito: Jesús Nazareno",   1 235,   3 719
50116,"Ayacucho, Huamanga, distrito: Andrés Avelino Cáceres Dorregaray",   1 651,   5 433
50201,"Ayacucho, Cangallo, distrito: Cangallo",87,   1 793
50202,"Ayacucho, Cangallo, distrito: Chuschi",26,   2 768
50203,"Ayacucho, Cangallo, distrito: Los Morochucos",37,   2 483
50204,"Ayacucho, Cangallo, distrito: María Parado de Bellido",3,715
50205,"Ayacucho, Cangallo, distrito: Paras",5,   1 292
50206,"Ayacucho, Cangallo, distrito: Totos",3,   1 207
50301,"Ayacucho, Huanca Sancos, distrito: Sancos",8,   1 165
50302,"Ayacucho, Huanca Sancos, distrito: Carapo",1,687
50303,"Ayacucho, Huanca Sancos, distrito: Sacsamarca",0,512
50304,"Ayacucho, Huanca Sancos, distrito: Santiago de Lucanamarca",1,719
50401,"Ayacucho, Huanta, distrito: Huanta",   1 411,   9 423
50402,"Ayacucho, Huanta, distrito: Ayahuanco",10,412
50403,"Ayacucho, Huanta, distrito: Huamanguilla",11,   1 297
50404,"Ayacucho, Huanta, distrito: Iguain",3,890
50405,"Ayacucho, Huanta, distrito: Luricocha",47,   1 765
50406,"Ayacucho, Huanta, distrito: Santillana",23,   1 101
50407,"Ayacucho, Huanta, distrito: Sivia",44,   3 228
50408,"Ayacucho, Huanta, distrito: Llochegua",122,   2 840
50409,"Ayacucho, Huanta, distrito: Canayre",15,   1 043
50410,"Ayacucho, Huanta, distrito: Uchuraccay",7,   1 046
50411,"Ayacucho, Huanta, distrito: Pucacolpa",1,710
50412,"Ayacucho, Huanta, distrito: Chaca",0,635
50501,"Ayacucho, La Mar, distrito: San Miguel",47,   3 005
50502,"Ayacucho, La Mar, distrito: Anco",23,   2 277
50503,"Ayacucho, La Mar, distrito: Ayna",203,   2 445
50504,"Ayacucho, La Mar, distrito: Chilcas",4,616
50505,"Ayacucho, La Mar, distrito: Chungui",6,   1 161
50506,"Ayacucho, La Mar, distrito: Luis Carranza",0,457
50507,"Ayacucho, La Mar, distrito: Santa Rosa",86,   3 384
50508,"Ayacucho, La Mar, distrito: Tambo",34,   3 082
50509,"Ayacucho, La Mar, distrito: Samugari",117,   2 677
50510,"Ayacucho, La Mar, distrito: Anchihuay",5,   1 132
50511,"Ayacucho, La Mar, distrito: Oronccoy",0,353
50601,"Ayacucho, Lucanas, distrito: Puquio",207,   4 112
50602,"Ayacucho, Lucanas, distrito: Aucara",12,   1 602
50603,"Ayacucho, Lucanas, distrito: Cabana",42,703
50604,"Ayacucho, Lucanas, distrito: Carmen Salcedo",12,601
50605,"Ayacucho, Lucanas, distrito: Chaviña",1,649
50606,"Ayacucho, Lucanas, distrito: Chipao",5,   1 020
50607,"Ayacucho, Lucanas, distrito: Huac-Huas",1,604
50608,"Ayacucho, Lucanas, distrito: Laramate",0,582
50609,"Ayacucho, Lucanas, distrito: Leoncio Prado",0,473
50610,"Ayacucho, Lucanas, distrito: Llauta",1,341
50611,"Ayacucho, Lucanas, distrito: Lucanas",16,905
50612,"Ayacucho, Lucanas, distrito: Ocaña",4,851
50613,"Ayacucho, Lucanas, distrito: Otoca",0,646
50614,"Ayacucho, Lucanas, distrito: Saisa",2,195
50615,"Ayacucho, Lucanas, distrito: San Cristobal",0,498
50616,"Ayacucho, Lucanas, distrito: San Juan",2,453
50617,"Ayacucho, Lucanas, distrito: San Pedro",2,827
50618,"Ayacucho, Lucanas, distrito: San Pedro de Palco",1,362
50619,"Ayacucho, Lucanas, distrito: Sancos",31,   1 577
50620,"Ayacucho, Lucanas, distrito: Santa Ana de HuaycAHUACHO",9,382
50621,"Ayacucho, Lucanas, distrito: Santa Lucia",4,435
50701,"Ayacucho, Parinacochas, distrito: Coracora",201,   3 545
50702,"Ayacucho, Parinacochas, distrito: Chumpi",11,750
50703,"Ayacucho, Parinacochas, distrito: Coronel Castañeda",0,248
50704,"Ayacucho, Parinacochas, distrito: Pacapausa",0,255
50705,"Ayacucho, Parinacochas, distrito: Pullo",63,   1 789
50706,"Ayacucho, Parinacochas, distrito: Puyusca",5,737
50707,"Ayacucho, Parinacochas, distrito: San Francisco de Ravacayco",0,197
50708,"Ayacucho, Parinacochas, distrito: Upahuacho",0,446
50801,"Ayacucho, Páucar del Sara Sara, distrito: Pausa",73,   1 066
50802,"Ayacucho, Páucar del Sara Sara, distrito: Colta",4,167
50803,"Ayacucho, Páucar del Sara Sara, distrito: Corculla",3,168
50804,"Ayacucho, Páucar del Sara Sara, distrito: Lampa",14,683
50805,"Ayacucho, Páucar del Sara Sara, distrito: Marcabamba",2,235
50806,"Ayacucho, Páucar del Sara Sara, distrito: Oyolo",0,328
50807,"Ayacucho, Páucar del Sara Sara, distrito: Pararca",0,167
50808,"Ayacucho, Páucar del Sara Sara, distrito: San Javier de Alpabamba",0,127
50809,"Ayacucho, Páucar del Sara Sara, distrito: San José de Ushua",0,88
50810,"Ayacucho, Páucar del Sara Sara, distrito: Sara Sara",0,208
50901,"Ayacucho, Sucre, distrito: Querobamba",54,768
50902,"Ayacucho, Sucre, distrito: Belén",0,136
50903,"Ayacucho, Sucre, distrito: Chalcos",0,176
50904,"Ayacucho, Sucre, distrito: Chilcayoc",1,196
50905,"Ayacucho, Sucre, distrito: Huacaña",2,155
50906,"Ayacucho, Sucre, distrito: Morcolla",2,415
50907,"Ayacucho, Sucre, distrito: Paico",1,241
50908,"Ayacucho, Sucre, distrito: San Pedro de Larcay",7,274
50909,"Ayacucho, Sucre, distrito: San Salvador de Quije",1,379
50910,"Ayacucho, Sucre, distrito: Santiago de Paucaray",0,245
50911,"Ayacucho, Sucre, distrito: Soras",0,359
51001,"Ayacucho, Víctor Fajardo, distrito: Huancapi",20,640
51002,"Ayacucho, Víctor Fajardo, distrito: Alcamenca",1,612
51003,"Ayacucho, Víctor Fajardo, distrito: Apongo",0,321
51004,"Ayacucho, Víctor Fajardo, distrito: Asquipata",0,234
51005,"Ayacucho, Víctor Fajardo, distrito: Canaria",47,   1 285
51006,"Ayacucho, Víctor Fajardo, distrito: Cayara",1,522
51007,"Ayacucho, Víctor Fajardo, distrito: Colca",2,381
51008,"Ayacucho, Víctor Fajardo, distrito: Huamanquiquia",15,350
51009,"Ayacucho, Víctor Fajardo, distrito: Huancaraylla",2,484
51010,"Ayacucho, Víctor Fajardo, distrito: Hualla",4,824
51011,"Ayacucho, Víctor Fajardo, distrito: Sarhua",2,775
51012,"Ayacucho, Víctor Fajardo, distrito: Vilcanchos",10,841
51101,"Ayacucho, Vilcas Huamán, distrito: Vilcas Huamán",23,   2 163
51102,"Ayacucho, Vilcas Huamán, distrito: Accomarca",1,397
51103,"Ayacucho, Vilcas Huamán, distrito: Carhuanca",0,348
51104,"Ayacucho, Vilcas Huamán, distrito: Concepción",4,569
51105,"Ayacucho, Vilcas Huamán, distrito: Huambalpa",5,599
51106,"Ayacucho, Vilcas Huamán, distrito: Independencia",0,424
51107,"Ayacucho, Vilcas Huamán, distrito: Saurama",0,392
51108,"Ayacucho, Vilcas Huamán, distrito: Vischongo",3,   1 242
60101,"Cajamarca, Cajamarca, distrito: Cajamarca",   20 130,   38 481
60102,"Cajamarca, Cajamarca, distrito: Asunción",25,   2 385
60103,"Cajamarca, Cajamarca, distrito: Chetilla",3,   1 022
60104,"Cajamarca, Cajamarca, distrito: Cospan",3,   1 881
60105,"Cajamarca, Cajamarca, distrito: Encañada",46,   5 980
60106,"Cajamarca, Cajamarca, distrito: Jesús",401,   3 759
60107,"Cajamarca, Cajamarca, distrito: Llacanora",31,   1 633
60108,"Cajamarca, Cajamarca, distrito: Los Baños del Inca",   2 287,   10 317
60109,"Cajamarca, Cajamarca, distrito: Magdalena",151,   2 353
60110,"Cajamarca, Cajamarca, distrito: Matara",6,   1 220
60111,"Cajamarca, Cajamarca, distrito: Namora",29,   2 743
60112,"Cajamarca, Cajamarca, distrito: San Juan",11,   1 280
60201,"Cajamarca, Cajabamba, distrito: Cajabamba",999,   8 120
60202,"Cajamarca, Cajabamba, distrito: Cachachi",30,   5 777
60203,"Cajamarca, Cajabamba, distrito: Condebamba",70,   3 873
60204,"Cajamarca, Cajabamba, distrito: Sitacocha",5,   2 158
60301,"Cajamarca, Celendín, distrito: Celendín",823,   7 083
60302,"Cajamarca, Celendín, distrito: Chumuch",0,763
60303,"Cajamarca, Celendín, distrito: Cortegana",4,   1 924
60304,"Cajamarca, Celendín, distrito: Huasmin",5,   3 281
60305,"Cajamarca, Celendín, distrito: Jorge Chávez",1,160
60306,"Cajamarca, Celendín, distrito: José Galvez",24,787
60307,"Cajamarca, Celendín, distrito: Miguel Iglesias",131,975
60308,"Cajamarca, Celendín, distrito: Oxamarca",3,   1 612
60309,"Cajamarca, Celendín, distrito: Sorochuco",36,   2 496
60310,"Cajamarca, Celendín, distrito: Sucre",19,   1 504
60311,"Cajamarca, Celendín, distrito: Utco",0,326
60312,"Cajamarca, Celendín, distrito: La Libertad de Pallan",1,   1 940
60401,"Cajamarca, Chota, distrito: Chota",   1 860,   12 805
60402,"Cajamarca, Chota, distrito: Anguia",0,933
60403,"Cajamarca, Chota, distrito: Chadin",4,   1 063
60404,"Cajamarca, Chota, distrito: Chiguirip",8,   1 155
60405,"Cajamarca, Chota, distrito: Chimban",0,625
60406,"Cajamarca, Chota, distrito: Choropampa",2,649
60407,"Cajamarca, Chota, distrito: Cochabamba",19,   1 725
60408,"Cajamarca, Chota, distrito: Conchan",10,   1 752
60409,"Cajamarca, Chota, distrito: Huambos",106,   2 404
60410,"Cajamarca, Chota, distrito: Lajas",34,   3 554
60411,"Cajamarca, Chota, distrito: Llama",16,   2 295
60412,"Cajamarca, Chota, distrito: Miracosta",1,905
60413,"Cajamarca, Chota, distrito: Paccha",16,   1 359
60414,"Cajamarca, Chota, distrito: Pion",1,410
60415,"Cajamarca, Chota, distrito: Querocoto",3,   2 380
60416,"Cajamarca, Chota, distrito: San Juan de Licupis",0,316
60417,"Cajamarca, Chota, distrito: Tacabamba",71,   4 690
60418,"Cajamarca, Chota, distrito: Tocmoche",1,317
60419,"Cajamarca, Chota, distrito: Chalamarca",7,   2 997
60501,"Cajamarca, Contumazá, distrito: Contumazá",133,   2 193
60502,"Cajamarca, Contumazá, distrito: Chilete",71,759
60503,"Cajamarca, Contumazá, distrito: Cupisnique",0,446
60504,"Cajamarca, Contumazá, distrito: Guzmango",1,874
60505,"Cajamarca, Contumazá, distrito: San Benito",3,   1 096
60506,"Cajamarca, Contumazá, distrito: Santa Cruz de Toled",2,314
60507,"Cajamarca, Contumazá, distrito: Tantarica",22,861
60508,"Cajamarca, Contumazá, distrito: Yonan",207,   2 106
60601,"Cajamarca, Cutervo, distrito: Cutervo",   1 235,   14 575
60602,"Cajamarca, Cutervo, distrito: Callayuc",8,   2 844
60603,"Cajamarca, Cutervo, distrito: Choros",0,893
60604,"Cajamarca, Cutervo, distrito: Cujillo",0,691
60605,"Cajamarca, Cutervo, distrito: La Ramada",4,   1 114
60606,"Cajamarca, Cutervo, distrito: Pimpingos",4,   1 539
60607,"Cajamarca, Cutervo, distrito: Querocotillo",10,   3 776
60608,"Cajamarca, Cutervo, distrito: San Andrés de Cutervo",3,   1 196
60609,"Cajamarca, Cutervo, distrito: San Juan de Cutervo",0,534
60610,"Cajamarca, Cutervo, distrito: San Luis de Lucma",1,   1 003
60611,"Cajamarca, Cutervo, distrito: Santa Cruz",3,763
60612,"Cajamarca, Cutervo, distrito: Santo Domingo de la Capilla",7,   1 371
60613,"Cajamarca, Cutervo, distrito: Santo Tomas",43,   1 976
60614,"Cajamarca, Cutervo, distrito: Socota",41,   2 651
60615,"Cajamarca, Cutervo, distrito: Toribio Casanova",8,352
60701,"Cajamarca, Hualgayoc, distrito: Bambamarca",   1 001,   19 320
60702,"Cajamarca, Hualgayoc, distrito: Chugur",2,854
60703,"Cajamarca, Hualgayoc, distrito: Hualgayoc",27,   4 219
60801,"Cajamarca, Jaén, distrito: Jaén",   4 225,   21 807
60802,"Cajamarca, Jaén, distrito: Bellavista",103,   4 573
60803,"Cajamarca, Jaén, distrito: Chontali",6,   2 832
60804,"Cajamarca, Jaén, distrito: Colasay",8,   3 138
60805,"Cajamarca, Jaén, distrito: Huabal",111,   2 112
60806,"Cajamarca, Jaén, distrito: Las Pirias",6,   1 395
60807,"Cajamarca, Jaén, distrito: Pomahuaca",45,   2 410
60808,"Cajamarca, Jaén, distrito: Pucara",44,   1 982
60809,"Cajamarca, Jaén, distrito: Sallique",1,   1 851
60810,"Cajamarca, Jaén, distrito: San Felipe",2,   1 450
60811,"Cajamarca, Jaén, distrito: San José del Alto",12,   1 997
60812,"Cajamarca, Jaén, distrito: Santa Rosa",30,   2 965
60901,"Cajamarca, San Ignacio, distrito: San Ignacio",499,   9 334
60902,"Cajamarca, San Ignacio, distrito: Chirinos",31,   4 103
60903,"Cajamarca, San Ignacio, distrito: Huarango",37,   5 387
60904,"Cajamarca, San Ignacio, distrito: La Coipa",110,   5 467
60905,"Cajamarca, San Ignacio, distrito: Namballe",47,   2 448
60906,"Cajamarca, San Ignacio, distrito: San José de Lourdes",32,   4 717
60907,"Cajamarca, San Ignacio, distrito: Tabaconas",26,   5 000
61001,"Cajamarca, San Marcos, distrito: Pedro Gálvez",319,   5 712
61002,"Cajamarca, San Marcos, distrito: Chancay",6,964
61003,"Cajamarca, San Marcos, distrito: Eduardo Villanueva",14,811
61004,"Cajamarca, San Marcos, distrito: Gregorio Pita",2,   1 736
61005,"Cajamarca, San Marcos, distrito: Ichocan",11,633
61006,"Cajamarca, San Marcos, distrito: José Manuel Quiroz",0,   1 164
61007,"Cajamarca, San Marcos, distrito: José Sabogal",35,   3 481
61101,"Cajamarca, San Miguel, distrito: San Miguel",145,   4 472
61102,"Cajamarca, San Miguel, distrito: Bolívar",17,448
61103,"Cajamarca, San Miguel, distrito: Calquis",7,   1 301
61104,"Cajamarca, San Miguel, distrito: Catilluc",2,863
61105,"Cajamarca, San Miguel, distrito: El Prado",0,549
61106,"Cajamarca, San Miguel, distrito: La Florida",3,787
61107,"Cajamarca, San Miguel, distrito: Llapa",6,   1 476
61108,"Cajamarca, San Miguel, distrito: Nanchoc",7,463
61109,"Cajamarca, San Miguel, distrito: Niepos",7,   1 106
61110,"Cajamarca, San Miguel, distrito: San Gregorio",1,759
61111,"Cajamarca, San Miguel, distrito: San Silvestre de Cochan",8,   1 183
61112,"Cajamarca, San Miguel, distrito: Tongod",1,863
61113,"Cajamarca, San Miguel, distrito: Unión Agua Blanca",47,912
61201,"Cajamarca, San Pablo, distrito: San Pablo",182,   3 791
61202,"Cajamarca, San Pablo, distrito: San Bernardino",11,   1 299
61203,"Cajamarca, San Pablo, distrito: San Luis",1,326
61204,"Cajamarca, San Pablo, distrito: Tumbaden",8,944
61301,"Cajamarca, Santa Cruz, distrito: Santa Cruz",163,   2 886
61302,"Cajamarca, Santa Cruz, distrito: Andabamba",7,446
61303,"Cajamarca, Santa Cruz, distrito: Catache",25,   2 470
61304,"Cajamarca, Santa Cruz, distrito: Chancaybaños",4,   1 013
61305,"Cajamarca, Santa Cruz, distrito: La Esperanza",0,811
61306,"Cajamarca, Santa Cruz, distrito: Ninabamba",33,626
61307,"Cajamarca, Santa Cruz, distrito: Pulan",13,   1 283
61308,"Cajamarca, Santa Cruz, distrito: Saucepampa",0,498
61309,"Cajamarca, Santa Cruz, distrito: Sexi",0,115
61310,"Cajamarca, Santa Cruz, distrito: Uticyacu",0,372
61311,"Cajamarca, Santa Cruz, distrito: Yauyucan",12,849
70101,"Prov. Constitucional del Callao, distrito: Callao",   57 984,   61 320
70102,"Prov. Constitucional del Callao, distrito: Bellavista",   13 652,   6 589
70103,"Prov. Constitucional del Callao, distrito: Carmen de la Legua Reynoso",   5 829,   5 686
70104,"Prov. Constitucional del Callao, distrito: La Perla",   11 807,   5 841
70105,"Prov. Constitucional del Callao, distrito: La Punta",967,267
70106,"Prov. Constitucional del Callao, distrito: Ventanilla",   23 510,   61 336
70107,"Prov. Constitucional del Callao, distrito: Mi Perú",   3 940,   7 500
80101,"Cusco, Cusco, distrito: Cusco",   10 750,   20 071
80102,"Cusco, Cusco, distrito: Ccorca",1,738
80103,"Cusco, Cusco, distrito: Poroy",77,599
80104,"Cusco, Cusco, distrito: San Jerónimo",   5 059,   10 079
80105,"Cusco, Cusco, distrito: San Sebastian",   12 097,   20 701
80106,"Cusco, Cusco, distrito: Santiago",   7 610,   19 402
80107,"Cusco, Cusco, distrito: Saylla",114,   1 365
80108,"Cusco, Cusco, distrito: Wanchaq",   10 979,   6 721
80201,"Cusco, Acomayo, distrito: Acomayo",27,   1 264
80202,"Cusco, Acomayo, distrito: Acopia",1,808
80203,"Cusco, Acomayo, distrito: Acos",15,702
80204,"Cusco, Acomayo, distrito: Mosoc Llacta",2,443
80205,"Cusco, Acomayo, distrito: Pomacanchi",8,   2 119
80206,"Cusco, Acomayo, distrito: Rondocan",3,761
80207,"Cusco, Acomayo, distrito: Sangarara",9,993
80301,"Cusco, Anta, distrito: Anta",602,   5 638
80302,"Cusco, Anta, distrito: Ancahuasi",24,   2 010
80303,"Cusco, Anta, distrito: Cachimayo",112,549
80304,"Cusco, Anta, distrito: Chinchaypujio",1,   1 281
80305,"Cusco, Anta, distrito: Huarocondo",15,   1 411
80306,"Cusco, Anta, distrito: Limatambo",49,   2 220
80307,"Cusco, Anta, distrito: Mollepata",20,   1 046
80308,"Cusco, Anta, distrito: Pucyura",53,719
80309,"Cusco, Anta, distrito: Zurite",76,924
80401,"Cusco, Calca, distrito: Calca",717,   5 258
80402,"Cusco, Calca, distrito: Coya",26,   1 064
80403,"Cusco, Calca, distrito: Lamay",23,   1 460
80404,"Cusco, Calca, distrito: Lares",8,   1 843
80405,"Cusco, Calca, distrito: Pisac",155,   2 757
80406,"Cusco, Calca, distrito: San Salvador",45,   1 466
80407,"Cusco, Calca, distrito: Taray",17,   1 207
80408,"Cusco, Calca, distrito: Yanatile",52,   2 961
80501,"Cusco, Canas, distrito: Yanaoca",29,   2 714
80502,"Cusco, Canas, distrito: Checca",6,   1 731
80503,"Cusco, Canas, distrito: Kunturkanki",6,   1 610
80504,"Cusco, Canas, distrito: Langui",6,668
80505,"Cusco, Canas, distrito: Layo",2,   1 692
80506,"Cusco, Canas, distrito: Pampamarca",5,542
80507,"Cusco, Canas, distrito: Quehue",1,890
80508,"Cusco, Canas, distrito: Tupac Amaru",0,799
80601,"Cusco, Canchis, distrito: Sicuani",   3 260,   14 214
80602,"Cusco, Canchis, distrito: Checacupe",149,   1 395
80603,"Cusco, Canchis, distrito: Combapata",54,   1 388
80604,"Cusco, Canchis, distrito: Marangani",153,   2 901
80605,"Cusco, Canchis, distrito: Pitumarca",747,   1 679
80606,"Cusco, Canchis, distrito: San Pablo",36,   1 472
80607,"Cusco, Canchis, distrito: San Pedro",78,820
80608,"Cusco, Canchis, distrito: Tinta",41,   1 657
80701,"Cusco, Chumbivilcas, distrito: Santo Tomas",143,   7 114
80702,"Cusco, Chumbivilcas, distrito: Capacmarca",1,   1 262
80703,"Cusco, Chumbivilcas, distrito: Chamaca",17,   2 024
80704,"Cusco, Chumbivilcas, distrito: Colquemarca",28,   2 315
80705,"Cusco, Chumbivilcas, distrito: Livitaca",6,   3 596
80706,"Cusco, Chumbivilcas, distrito: Llusco",1,   1 353
80707,"Cusco, Chumbivilcas, distrito: Quiñota",5,   1 095
80708,"Cusco, Chumbivilcas, distrito: Velille",28,   2 280
80801,"Cusco, Espinar, distrito: Espinar",715,   9 846
80802,"Cusco, Espinar, distrito: Condoroma",9,341
80803,"Cusco, Espinar, distrito: Coporaque",8,   3 642
80804,"Cusco, Espinar, distrito: Ocoruro",0,478
80805,"Cusco, Espinar, distrito: Pallpata",128,   1 586
80806,"Cusco, Espinar, distrito: Pichigua",2,   1 028
80807,"Cusco, Espinar, distrito: Suyckutambo",3,651
80808,"Cusco, Espinar, distrito: Alto Pichigua",0,733
80901,"Cusco, La Convención, distrito: Santa Ana",757,   5 344
80902,"Cusco, La Convención, distrito: Echarate",75,   7 248
80903,"Cusco, La Convención, distrito: Huayopata",15,   1 828
80904,"Cusco, La Convención, distrito: Maranura",31,   1 433
80905,"Cusco, La Convención, distrito: Ocobamba",3,   1 593
80906,"Cusco, La Convención, distrito: Quellouno",27,   4 806
80907,"Cusco, La Convención, distrito: Kimbiri",421,   4 197
80908,"Cusco, La Convención, distrito: Santa Teresa",108,   1 973
80909,"Cusco, La Convención, distrito: Vilcabamba",14,   3 068
80910,"Cusco, La Convención, distrito: Pichari",484,   5 807
80911,"Cusco, La Convención, distrito: Inkawasi",0,   1 314
80912,"Cusco, La Convención, distrito: Villa Virgen",5,496
80913,"Cusco, La Convención, distrito: Villa Kintiarina",1,534
80914,"Cusco, La Convención, distrito: Megantoni",2,   1 170
81001,"Cusco, Paruro, distrito: Paruro",46,940
81002,"Cusco, Paruro, distrito: Accha",3,995
81003,"Cusco, Paruro, distrito: Ccapi",1,996
81004,"Cusco, Paruro, distrito: Colcha",0,398
81005,"Cusco, Paruro, distrito: Huanoquite",12,   1 470
81006,"Cusco, Paruro, distrito: Omacha",1,   1 601
81007,"Cusco, Paruro, distrito: Paccaritambo",5,654
81008,"Cusco, Paruro, distrito: Pillpinto",15,431
81009,"Cusco, Paruro, distrito: Yaurisque",2,630
81101,"Cusco, Paucartambo, distrito: Paucartambo",123,   3 326
81102,"Cusco, Paucartambo, distrito: Caicay",18,714
81103,"Cusco, Paucartambo, distrito: Challabamba",9,   2 510
81104,"Cusco, Paucartambo, distrito: Colquepata",3,   2 322
81105,"Cusco, Paucartambo, distrito: Huancarani",32,   1 803
81106,"Cusco, Paucartambo, distrito: Kosñipata",1,   1 323
81201,"Cusco, Quispicanchi, distrito: Urcos",417,   2 678
81202,"Cusco, Quispicanchi, distrito: Andahuaylillas",58,   1 540
81203,"Cusco, Quispicanchi, distrito: Camanti",24,572
81204,"Cusco, Quispicanchi, distrito: Ccarhuayo",19,791
81205,"Cusco, Quispicanchi, distrito: Ccatca",11,   3 550
81206,"Cusco, Quispicanchi, distrito: Cusipata",50,   1 242
81207,"Cusco, Quispicanchi, distrito: Huaro",65,   1 220
81208,"Cusco, Quispicanchi, distrito: Lucre",205,   1 134
81209,"Cusco, Quispicanchi, distrito: Marcapata",17,   1 356
81210,"Cusco, Quispicanchi, distrito: Ocongate",58,   4 236
81211,"Cusco, Quispicanchi, distrito: Oropesa",274,   2 240
81212,"Cusco, Quispicanchi, distrito: Quiquijana",107,   2 839
81301,"Cusco, Urubamba, distrito: Urubamba",   1 072,   4 535
81302,"Cusco, Urubamba, distrito: Chinchero",238,   2 689
81303,"Cusco, Urubamba, distrito: Huayllabamba",90,   1 450
81304,"Cusco, Urubamba, distrito: Machupicchu",286,706
81305,"Cusco, Urubamba, distrito: Maras",33,   1 844
81306,"Cusco, Urubamba, distrito: Ollantaytambo",228,   2 572
81307,"Cusco, Urubamba, distrito: Yucay",160,615
90101,"Huancavelica, Huancavelica, distrito: Huancavelica",   2 847,   9 233
90102,"Huancavelica, Huancavelica, distrito: Acobambilla",1,681
90103,"Huancavelica, Huancavelica, distrito: Acoria",23,   5 411
90104,"Huancavelica, Huancavelica, distrito: Conayca",1,364
90105,"Huancavelica, Huancavelica, distrito: Cuenca",0,403
90106,"Huancavelica, Huancavelica, distrito: Huachocolpa",9,486
90107,"Huancavelica, Huancavelica, distrito: Huayllahuara",1,269
90108,"Huancavelica, Huancavelica, distrito: Izcuchaca",6,260
90109,"Huancavelica, Huancavelica, distrito: Laria",0,328
90110,"Huancavelica, Huancavelica, distrito: Manta",1,291
90111,"Huancavelica, Huancavelica, distrito: Mariscal Cáceres",18,149
90112,"Huancavelica, Huancavelica, distrito: Moya",0,397
90113,"Huancavelica, Huancavelica, distrito: Nuevo Occoro",0,537
90114,"Huancavelica, Huancavelica, distrito: Palca",1,739
90115,"Huancavelica, Huancavelica, distrito: Pilchaca",1,192
90116,"Huancavelica, Huancavelica, distrito: Vilca",0,694
90117,"Huancavelica, Huancavelica, distrito: Yauli",17,   4 644
90118,"Huancavelica, Huancavelica, distrito: Ascensión",683,   2 933
90119,"Huancavelica, Huancavelica, distrito: Huando",6,   1 760
90201,"Huancavelica, Acobamba, distrito: Acobamba",246,   2 677
90202,"Huancavelica, Acobamba, distrito: Andabamba",5,930
90203,"Huancavelica, Acobamba, distrito: Anta",6,   1 329
90204,"Huancavelica, Acobamba, distrito: Caja",4,667
90205,"Huancavelica, Acobamba, distrito: Marcas",1,569
90206,"Huancavelica, Acobamba, distrito: Paucara",45,   2 731
90207,"Huancavelica, Acobamba, distrito: Pomacocha",4,937
90208,"Huancavelica, Acobamba, distrito: Rosario",2,   1 517
90301,"Huancavelica, Angaraes, distrito: Lircay",430,   5 923
90302,"Huancavelica, Angaraes, distrito: Anchonga",8,   1 821
90303,"Huancavelica, Angaraes, distrito: Callanmarca",1,208
90304,"Huancavelica, Angaraes, distrito: Ccochaccasa",27,767
90305,"Huancavelica, Angaraes, distrito: Chincho",2,358
90306,"Huancavelica, Angaraes, distrito: Congalla",7,   1 318
90307,"Huancavelica, Angaraes, distrito: Huanca-Huanca",1,398
90308,"Huancavelica, Angaraes, distrito: Huayllay Grande",1,386
90309,"Huancavelica, Angaraes, distrito: Julcamarca",2,604
90310,"Huancavelica, Angaraes, distrito: San Antonio de Antaparco",1,607
90311,"Huancavelica, Angaraes, distrito: Santo Tomas de Pata",3,457
90312,"Huancavelica, Angaraes, distrito: Secclla",3,946
90401,"Huancavelica, Castrovirreyna, distrito: Castrovirreyna",24,989
90402,"Huancavelica, Castrovirreyna, distrito: Arma",1,412
90403,"Huancavelica, Castrovirreyna, distrito: Aurahua",0,500
90404,"Huancavelica, Castrovirreyna, distrito: Capillas",0,368
90405,"Huancavelica, Castrovirreyna, distrito: Chupamarca",1,331
90406,"Huancavelica, Castrovirreyna, distrito: Cocas",0,251
90407,"Huancavelica, Castrovirreyna, distrito: Huachos",0,365
90408,"Huancavelica, Castrovirreyna, distrito: Huamatambo",0,143
90409,"Huancavelica, Castrovirreyna, distrito: Mollepampa",0,443
90410,"Huancavelica, Castrovirreyna, distrito: San Juan",0,258
90411,"Huancavelica, Castrovirreyna, distrito: Santa Ana",3,357
90412,"Huancavelica, Castrovirreyna, distrito: Tantara",0,238
90413,"Huancavelica, Castrovirreyna, distrito: Ticrapo",1,534
90501,"Huancavelica, Churcampa, distrito: Churcampa",43,   1 540
