Código,Distrito,Sí tiene conexión a internet,No tiene conexión a internet
20204,"Áncash, Aija, distrito: La Merced",2,521
20205,"Áncash, Aija, distrito: Succha",0,267
20301,"Áncash, Antonio Raymondi, distrito: Llamellin",15,899
20302,"Áncash, Antonio Raymondi, distrito: Aczo",1,567
20303,"Áncash, Antonio Raymondi, distrito: Chaccho",1,419
20304,"Áncash, Antonio Raymondi, distrito: Chingas",3,563
20305,"Áncash, Antonio Raymondi, distrito: Mirgas",5,   1 135
20306,"Áncash, Antonio Raymondi, distrito: San Juan de Rontoy",5,314
20401,"Áncash, Asunción, distrito: Chacas",39,   1 303
20402,"Áncash, Asunción, distrito: Acochaca",4,   1 013
20501,"Áncash, Bolognesi, distrito: Chiquian",81,   1 061
20502,"Áncash, Bolognesi, distrito: Abelardo Pardo Lezameta",0,122
20503,"Áncash, Bolognesi, distrito: Antonio Raymondi",4,357
20504,"Áncash, Bolognesi, distrito: Aquia",8,624
20505,"Áncash, Bolognesi, distrito: Cajacay",3,587
20506,"Áncash, Bolognesi, distrito: Canis",0,113
20507,"Áncash, Bolognesi, distrito: Colquioc",14,552
20508,"Áncash, Bolognesi, distrito: Huallanca",39,   1 611
20509,"Áncash, Bolognesi, distrito: Huasta",11,503
20510,"Áncash, Bolognesi, distrito: Huayllacayan",17,414
20511,"Áncash, Bolognesi, distrito: La Primavera",0,165
20512,"Áncash, Bolognesi, distrito: Mangas",2,173
20513,"Áncash, Bolognesi, distrito: Pacllon",3,317
20514,"Áncash, Bolognesi, distrito: San Miguel de Corpanqui",1,148
20515,"Áncash, Bolognesi, distrito: Ticllos",0,257
20601,"Áncash, Carhuaz, distrito: Carhuaz",522,   3 816
20602,"Áncash, Carhuaz, distrito: Acopampa",60,711
20603,"Áncash, Carhuaz, distrito: Amashca",2,506
20604,"Áncash, Carhuaz, distrito: Anta",22,744
20605,"Áncash, Carhuaz, distrito: Ataquero",47,427
20606,"Áncash, Carhuaz, distrito: Marcara",121,   2 599
20607,"Áncash, Carhuaz, distrito: Pariahuanca",6,424
20608,"Áncash, Carhuaz, distrito: San Miguel de Aco",9,702
20609,"Áncash, Carhuaz, distrito: Shilla",7,941
20610,"Áncash, Carhuaz, distrito: Tinco",80,894
20611,"Áncash, Carhuaz, distrito: Yungar",79,773
20701,"Áncash, Carlos Fermín Fitzcarrald, distrito: San Luis",67,   3 066
20702,"Áncash, Carlos Fermín Fitzcarrald, distrito: San Nicolás",0,886
20703,"Áncash, Carlos Fermín Fitzcarrald, distrito: Yauya",9,   1 280
20801,"Áncash, Casma, distrito: Casma",   1 826,   8 823
20802,"Áncash, Casma, distrito: Buena Vista Alta",58,   1 482
20803,"Áncash, Casma, distrito: Comandante Noel",33,607
20804,"Áncash, Casma, distrito: Yautan",38,   2 372
20901,"Áncash, Corongo, distrito: Corongo",40,445
20902,"Áncash, Corongo, distrito: Aco",0,128
20903,"Áncash, Corongo, distrito: Bambas",0,132
20904,"Áncash, Corongo, distrito: Cusca",0,671
20905,"Áncash, Corongo, distrito: La Pampa",8,315
20906,"Áncash, Corongo, distrito: Yanac",5,215
20907,"Áncash, Corongo, distrito: Yupan",2,142
21001,"Áncash, Huari, distrito: Huari",269,   2 411
21002,"Áncash, Huari, distrito: Anra",4,427
21003,"Áncash, Huari, distrito: Cajay",0,748
21004,"Áncash, Huari, distrito: Chavin de Huantar",38,   2 431
21005,"Áncash, Huari, distrito: Huacachi",0,511
21006,"Áncash, Huari, distrito: Huacchis",0,455
21007,"Áncash, Huari, distrito: Huachis",49,973
21008,"Áncash, Huari, distrito: Huantar",6,850
21009,"Áncash, Huari, distrito: Masin",5,489
21010,"Áncash, Huari, distrito: Paucas",1,494
21011,"Áncash, Huari, distrito: Ponto",1,771
21012,"Áncash, Huari, distrito: Rahuapampa",1,196
21013,"Áncash, Huari, distrito: Rapayan",0,422
21014,"Áncash, Huari, distrito: San Marcos",49,   3 630
21015,"Áncash, Huari, distrito: San Pedro de Chana",4,681
21016,"Áncash, Huari, distrito: Uco",4,394
21101,"Áncash, Huarmey, distrito: Huarmey",   1 158,   6 549
21102,"Áncash, Huarmey, distrito: Cochapeti",0,296
21103,"Áncash, Huarmey, distrito: Culebras",119,864
21104,"Áncash, Huarmey, distrito: Huayan",1,296
21105,"Áncash, Huarmey, distrito: Malvas",1,274
21201,"Áncash, Huaylas, distrito: Caraz",   1 083,   5 779
21202,"Áncash, Huaylas, distrito: Huallanca",37,299
21203,"Áncash, Huaylas, distrito: Huata",15,384
21204,"Áncash, Huaylas, distrito: Huaylas",3,643
21205,"Áncash, Huaylas, distrito: Mato",33,560
21206,"Áncash, Huaylas, distrito: Pamparomas",47,   2 017
21207,"Áncash, Huaylas, distrito: Pueblo Libre",10,   1 892
21208,"Áncash, Huaylas, distrito: Santa Cruz",57,   1 194
21209,"Áncash, Huaylas, distrito: Santo Toribio",5,362
21210,"Áncash, Huaylas, distrito: Yuracmarca",55,535
21301,"Áncash, Mariscal Luzuriaga, distrito: Piscobamba",24,891
21302,"Áncash, Mariscal Luzuriaga, distrito: Casca",0,   1 182
21303,"Áncash, Mariscal Luzuriaga, distrito: Eleazar Guzmán Barron",0,336
21304,"Áncash, Mariscal Luzuriaga, distrito: Fidel Olivas Escudero",0,565
21305,"Áncash, Mariscal Luzuriaga, distrito: Llama",1,335
21306,"Áncash, Mariscal Luzuriaga, distrito: Llumpa",10,   1 594
21307,"Áncash, Mariscal Luzuriaga, distrito: Lucma",0,894
21308,"Áncash, Mariscal Luzuriaga, distrito: Musga",0,301
21401,"Áncash, Ocros, distrito: Ocros",16,413
21402,"Áncash, Ocros, distrito: Acas",0,225
21403,"Áncash, Ocros, distrito: Cajamarquilla",0,117
21404,"Áncash, Ocros, distrito: Carhuapampa",0,203
21405,"Áncash, Ocros, distrito: Cochas",2,474
21406,"Áncash, Ocros, distrito: Congas",0,440
21407,"Áncash, Ocros, distrito: Llipa",0,116
21408,"Áncash, Ocros, distrito: San Cristóbal de Rajan",27,167
21409,"Áncash, Ocros, distrito: San Pedro",1,258
21410,"Áncash, Ocros, distrito: Santiago de Chilcas",0,158
21501,"Áncash, Pallasca, distrito: Cabana",27,669
21502,"Áncash, Pallasca, distrito: Bolognesi",0,277
21503,"Áncash, Pallasca, distrito: Conchucos",6,   1 953
21504,"Áncash, Pallasca, distrito: Huacaschuque",3,153
21505,"Áncash, Pallasca, distrito: Huandoval",2,291
21506,"Áncash, Pallasca, distrito: Lacabamba",0,160
21507,"Áncash, Pallasca, distrito: Llapo",10,177
21508,"Áncash, Pallasca, distrito: Pallasca",3,730
21509,"Áncash, Pallasca, distrito: Pampas",36,   1 202
